# Input file for fr-burgers-turbulent.py program
N                   -1 # Number of mesh points
NX                  11 # Number of mesh points in X
NY                  11 # Number of mesh points in Y
NREF                 0 # Number of refinement levels of the mesh
P                    2 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.010000 # Viscosity
INISOL    TAYLOR_GREEN # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000100 # Time step
TSIM          0.100000 # Maximum number of iterations
NDUMP              500 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
0.000000000000000e+00 0.000000000000000e+00 1.254814153833425e-01 -3.954106751469311e-02
4.500000000000000e-01 2.000000000000000e-01 7.624958799869621e-01 -2.182549277000976e-01

5.000000000000000e-01 2.000000000000000e-01 7.792533549889044e-01 -1.520555699500786e-01

4.000000000000000e-01 2.500000000000000e-01 5.831162775093394e-01 -3.290779562490770e-01

4.500000000000000e-01 2.500000000000000e-01 6.282976441732387e-01 -2.345924106075629e-01

5.000000000000000e-01 2.500000000000000e-01 6.545197653554140e-01 -1.538963731530144e-01

4.000000000000000e-01 3.000000000000000e-01 4.601980528155585e-01 -3.505390918667634e-01

4.500000000000000e-01 3.000000000000000e-01 5.038212051774388e-01 -2.402420540416751e-01

5.000000000000000e-01 3.000000000000000e-01 5.303215493238156e-01 -1.419742577785637e-01

5.000000000000000e-01 2.000000000000000e-01 7.831019376145384e-01 -1.392843012205622e-01

5.500000000000000e-01 2.000000000000000e-01 7.850901962111643e-01 -5.406137453930573e-02

6.000000000000001e-01 2.000000000000000e-01 7.717947722262445e-01 6.121676412304128e-02

5.000000000000000e-01 2.500000000000000e-01 6.585476948372802e-01 -1.381527739733082e-01

5.500000000000000e-01 2.500000000000000e-01 6.749552299823308e-01 -4.082761908390033e-02

6.000000000000001e-01 2.500000000000000e-01 6.818448295988850e-01 9.112209854101465e-02

5.000000000000000e-01 3.000000000000000e-01 5.360937983094427e-01 -1.261829401303473e-01

5.500000000000000e-01 3.000000000000000e-01 5.553753806884953e-01 -1.704567783300754e-02

6.000000000000001e-01 3.000000000000000e-01 5.705359373369447e-01 1.281103941507128e-01

6.000000000000001e-01 2.000000000000000e-01 7.682376047539904e-01 4.413695636271885e-02

6.500000000000001e-01 2.000000000000000e-01 7.311932134748454e-01 1.410119403491091e-01

7.000000000000001e-01 2.000000000000000e-01 6.713517637189672e-01 2.046192987642109e-01

6.000000000000001e-01 2.500000000000000e-01 6.770029969640260e-01 6.939128049575261e-02

6.500000000000001e-01 2.500000000000000e-01 6.559602471212718e-01 1.836190374092977e-01

7.000000000000001e-01 2.500000000000000e-01 6.043653925325255e-01 2.602204146777240e-01

6.000000000000001e-01 3.000000000000000e-01 5.632610432186776e-01 1.026160813795343e-01

6.500000000000001e-01 3.000000000000000e-01 5.552644629474403e-01 2.304612636433908e-01

7.000000000000001e-01 3.000000000000000e-01 5.202459179322135e-01 3.144198375810340e-01

7.000000000000001e-01 2.000000000000000e-01 6.754521649398372e-01 2.256159210196454e-01

7.500000000000000e-01 2.000000000000000e-01 6.074386114083806e-01 3.143333289021585e-01

8.000000000000000e-01 2.000000000000000e-01 5.243582166068121e-01 4.445340529184211e-01

7.000000000000001e-01 2.500000000000000e-01 6.101587284588349e-01 2.869192057689449e-01

7.500000000000000e-01 2.500000000000000e-01 5.487402342481266e-01 3.900059897747921e-01

8.000000000000000e-01 2.500000000000000e-01 4.784747041948181e-01 5.414828018565904e-01

7.000000000000001e-01 3.000000000000000e-01 5.279114197835443e-01 3.477575330331193e-01

7.500000000000000e-01 3.000000000000000e-01 4.852732019684958e-01 4.585101260798107e-01

