# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                    TRUE
SGS_MODEL_TYPE  smagorinsky_dynamic
SGS_FILTER_RATIO            2.00
SGS_AVG_TYPE             global
SGS_CS_MIN               0.0100

BEGIN_SOLUTION
3.819094767154087e-01 9.950511603395104e-01
3.836477987421384e-01 9.921546033800065e-01
3.836477987421384e-01 9.921966091849718e-01
3.853861207688681e-01 9.907090473079555e-01
3.881987848915093e-01 9.922883343195764e-01
3.899371069182390e-01 9.935836737988037e-01
3.899371069182390e-01 9.935709436622490e-01
3.916754289449687e-01 9.938700636866380e-01
3.944880930676100e-01 9.926858156617389e-01
3.962264150943396e-01 9.914714935727144e-01
3.962264150943396e-01 9.916201074389244e-01
3.979647371210693e-01 9.905964536995245e-01
4.007774012437106e-01 9.916804348402594e-01
4.025157232704403e-01 9.930232018944086e-01
4.025157232704403e-01 9.931864842710786e-01
4.042540452971700e-01 9.937689454183043e-01
4.070667094198112e-01 9.956585550710246e-01
4.088050314465409e-01 9.981402531972388e-01
4.088050314465409e-01 9.979824504356933e-01
4.105433534732706e-01 1.000974891000201e+00
4.133560175959118e-01 1.002940392869201e+00
4.150943396226415e-01 1.002547136273530e+00
4.150943396226415e-01 1.002571191601969e+00
4.168326616493712e-01 1.001664219356658e+00
4.196453257720125e-01 9.999020348151373e-01
4.213836477987422e-01 9.983428503181150e-01
4.213836477987422e-01 9.984294892298544e-01
4.231219698254718e-01 9.962702504116736e-01
4.259346339481131e-01 9.939512162277193e-01
4.276729559748428e-01 9.943783580582435e-01
4.276729559748428e-01 9.942439472395778e-01
4.294112780015725e-01 9.963196935475582e-01
4.322239421242137e-01 9.992471653531216e-01
4.339622641509434e-01 9.997098406069527e-01
4.339622641509434e-01 9.998383657885976e-01
4.357005861776731e-01 9.991164373593080e-01
4.385132503003144e-01 9.985700373592744e-01
4.402515723270440e-01 9.992745151108569e-01
4.402515723270440e-01 9.989516994685624e-01
4.419898943537737e-01 1.000204175554875e+00
4.448025584764150e-01 9.983645011369952e-01
4.465408805031447e-01 9.963648332644371e-01
4.465408805031447e-01 9.962854770997734e-01
4.482792025298744e-01 9.960984038038454e-01
4.510918666525156e-01 9.985700401871120e-01
4.528301886792453e-01 9.995875903989436e-01
4.528301886792453e-01 9.998023795509088e-01
4.545685107059750e-01 9.997839801427032e-01
4.573811748286162e-01 1.001699152204731e+00
4.591194968553459e-01 1.003252122195313e+00
4.591194968553459e-01 1.003266097927446e+00
4.608578188820756e-01 1.003784670312260e+00
4.636704830047169e-01 1.002921261627713e+00
4.654088050314465e-01 1.002536011328818e+00
4.654088050314465e-01 1.002601322848863e+00
4.671471270581762e-01 1.002948630763337e+00
4.699597911808175e-01 1.005407391098355e+00
4.716981132075472e-01 1.007231042447916e+00
4.716981132075472e-01 1.007260867545694e+00
4.734364352342769e-01 1.008436150194467e+00
4.762490993569181e-01 1.009463889859484e+00
4.779874213836478e-01 1.010323832020099e+00
4.779874213836478e-01 1.010306414475146e+00
4.797257434103775e-01 1.011569773862994e+00
4.825384075330187e-01 1.013417487214933e+00
4.842767295597484e-01 1.014021721675256e+00
4.842767295597484e-01 1.014055189489437e+00
4.860150515864781e-01 1.013986756686314e+00
4.888277157091194e-01 1.013448003255998e+00
4.905660377358491e-01 1.013583552070856e+00
4.905660377358491e-01 1.013509201824941e+00
4.923043597625787e-01 1.014243740339292e+00
4.951170238852200e-01 1.014536774311114e+00
4.968553459119497e-01 1.013506300211359e+00
4.968553459119497e-01 1.013597165292805e+00
4.985936679386794e-01 1.011544050594531e+00
5.014063320613206e-01 1.008233402770905e+00
5.031446540880503e-01 1.006596617765098e+00
5.031446540880503e-01 1.006538186960871e+00
5.048829761147801e-01 1.005040964381576e+00
5.076956402374212e-01 1.001446226524913e+00
5.094339622641509e-01 9.985376038807906e-01
5.094339622641509e-01 9.985618520318335e-01
5.111722842908807e-01 9.953898073200058e-01
5.139849484135218e-01 9.907493112040197e-01
5.157232704402516e-01 9.885960748610489e-01
5.157232704402516e-01 9.886202736995424e-01
5.174615924669813e-01 9.871715467431075e-01
5.202742565896225e-01 9.865099674239953e-01
5.220125786163522e-01 9.869695186780683e-01
5.220125786163522e-01 9.869545114135120e-01
5.237509006430819e-01 9.877738884436624e-01
5.265635647657231e-01 9.891743819418278e-01
5.283018867924528e-01 9.900540457903139e-01
5.283018867924528e-01 9.898478820190195e-01
5.300402088191826e-01 9.907362423517834e-01
5.328528729418237e-01 9.893747399416540e-01
5.345911949685535e-01 9.877163022176568e-01
5.345911949685535e-01 9.878281013240459e-01
5.363295169952832e-01 9.871520361197333e-01
5.391421811179243e-01 9.898598415299480e-01
5.408805031446541e-01 9.917876632888672e-01
5.408805031446541e-01 9.917686875883236e-01
5.426188251713838e-01 9.922781836527139e-01
5.454314892940250e-01 9.905673694559305e-01
5.471698113207547e-01 9.893991500839950e-01
5.471698113207547e-01 9.894575055161110e-01
5.489081333474845e-01 9.891766969887538e-01
5.517207974701256e-01 9.914530814726084e-01
5.534591194968553e-01 9.939865750058956e-01
5.534591194968553e-01 9.939310154881194e-01
5.551974415235851e-01 9.966930189486677e-01
5.580101056462262e-01 1.000026142886226e+00
5.597484276729560e-01 1.001246706620420e+00
5.597484276729560e-01 1.001296229806822e+00
5.614867496996857e-01 1.002006512046903e+00
5.642994138223268e-01 1.003070163572555e+00
5.660377358490566e-01 1.003617070356173e+00
5.660377358490566e-01 1.003643501948274e+00
5.677760578757863e-01 1.003858043272525e+00
5.705887219984275e-01 1.003597398505593e+00
5.723270440251572e-01 1.002979635708757e+00
5.723270440251572e-01 1.003019868567971e+00
5.740653660518870e-01 1.001823379426940e+00
5.768780301745281e-01 1.000020422751871e+00
5.786163522012578e-01 1.000104273693696e+00
5.786163522012578e-01 1.000015849227324e+00
5.803546742279876e-01 1.001406587039190e+00
5.831673383506287e-01 1.004048962845756e+00
5.849056603773585e-01 1.005386264546141e+00
5.849056603773585e-01 1.005328766909590e+00
5.866439824040882e-01 1.006510228607108e+00
5.894566465267294e-01 1.006964165094622e+00
5.911949685534591e-01 1.005731483589424e+00
5.911949685534591e-01 1.005910628604339e+00
5.929332905801888e-01 1.003513192051223e+00
5.957459547028300e-01 1.001503413763553e+00
5.974842767295597e-01 1.002052863159735e+00
5.974842767295597e-01 1.001866579602961e+00
5.992225987562895e-01 1.003413643196238e+00
6.020352628789307e-01 1.003986083624901e+00
6.037735849056605e-01 1.003035777881896e+00
6.037735849056605e-01 1.003196042225178e+00
6.055119069323902e-01 1.002055611322647e+00
6.083245710550313e-01 1.003547026276465e+00
6.100628930817611e-01 1.006222477784175e+00
6.100628930817611e-01 1.006171924871090e+00
6.118012151084908e-01 1.009377527722460e+00
6.146138792311320e-01 1.013342546633542e+00
6.163522012578617e-01 1.014125170219199e+00
6.163522012578617e-01 1.014190965200824e+00
6.180905232845915e-01 1.013341619933809e+00
6.209031874072326e-01 1.010662366322891e+00
6.226415094339623e-01 1.009159785926803e+00
6.226415094339623e-01 1.009091961080937e+00
6.243798314606921e-01 1.008032560019721e+00
6.271924955833332e-01 1.005993825433937e+00
6.289308176100630e-01 1.004551765238987e+00
6.289308176100630e-01 1.004593074630924e+00
6.306691396367927e-01 1.003340002548182e+00
6.334818037594339e-01 1.002699812147559e+00
6.352201257861636e-01 1.002960123581892e+00
6.352201257861636e-01 1.002899247023837e+00
6.369584478128933e-01 1.003390846104568e+00
6.397711119355345e-01 1.003322296755998e+00
6.415094339622642e-01 1.002535602478893e+00
6.415094339622642e-01 1.002539760043204e+00
