# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
2.201257861635220e-01 1.011285477357011e+00
2.201257861635220e-01 1.011259914109084e+00
2.218641081902517e-01 1.012213614693980e+00
2.246767723128930e-01 1.012923418371132e+00
2.264150943396226e-01 1.012635841734307e+00
2.264150943396226e-01 1.012623542326290e+00
2.281534163663523e-01 1.011754501876503e+00
2.309660804889936e-01 1.009270955017942e+00
2.327044025157233e-01 1.007378016270787e+00
2.327044025157233e-01 1.007406562255943e+00
2.344427245424530e-01 1.005520401608207e+00
2.372553886650942e-01 1.003325212412380e+00
2.389937106918239e-01 1.002635414007902e+00
2.389937106918239e-01 1.002633103460905e+00
2.407320327185536e-01 1.002406346569184e+00
2.435446968411948e-01 1.002581383277082e+00
2.452830188679245e-01 1.002754095946623e+00
2.452830188679245e-01 1.002736940447515e+00
2.470213408946542e-01 1.002771787107328e+00
2.498340050172955e-01 1.002010310432055e+00
2.515723270440252e-01 1.000911454255589e+00
2.515723270440252e-01 1.000907952206023e+00
2.533106490707548e-01 9.993413555649968e-01
2.561233131933961e-01 9.960765236412458e-01
2.578616352201258e-01 9.938285816100318e-01
2.578616352201258e-01 9.938514722244993e-01
2.595999572468555e-01 9.916164512026538e-01
2.624126213694967e-01 9.889721240741010e-01
2.641509433962264e-01 9.883644106214122e-01
2.641509433962264e-01 9.883637642470841e-01
2.658892654229561e-01 9.886901966366710e-01
2.687019295455974e-01 9.906011931345464e-01
2.704402515723270e-01 9.920945804153838e-01
2.704402515723270e-01 9.920770539827185e-01
2.721785735990567e-01 9.934515972554965e-01
2.749912377216980e-01 9.949248697676291e-01
2.767295597484277e-01 9.953526186251211e-01
2.767295597484277e-01 9.953668066918075e-01
2.784678817751574e-01 9.954871203785950e-01
2.812805458977986e-01 9.955047942499478e-01
2.830188679245283e-01 9.955576491012299e-01
2.830188679245283e-01 9.955365535114108e-01
2.847571899512580e-01 9.956623201341985e-01
2.875698540738992e-01 9.955885453062908e-01
2.893081761006289e-01 9.953185811928501e-01
2.893081761006289e-01 9.953433234585538e-01
2.910464981273586e-01 9.949785095699328e-01
2.938591622499999e-01 9.950240385856736e-01
2.955974842767295e-01 9.957293994826739e-01
2.955974842767295e-01 9.957276921250998e-01
2.973358063034592e-01 9.970097943633339e-01
3.001484704261005e-01 9.998026400104457e-01
3.018867924528302e-01 1.001571428004954e+00
3.018867924528302e-01 1.001555721098972e+00
3.036251144795599e-01 1.003096931562931e+00
3.064377786022012e-01 1.004789662794082e+00
3.081761006289309e-01 1.005433310982717e+00
3.081761006289309e-01 1.005447705853137e+00
3.099144226556605e-01 1.005907916401702e+00
3.127270867783018e-01 1.006560669541512e+00
3.144654088050315e-01 1.006853166356819e+00
3.144654088050315e-01 1.006846777751504e+00
3.162037308317612e-01 1.006954147976749e+00
