# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
2.138364779874214e-01 9.954189097501944e-01
2.138364779874214e-01 9.954190368784527e-01
2.155748000141511e-01 9.958081251847718e-01
2.183874641367923e-01 9.964509878833991e-01
2.201257861635220e-01 9.968459075588711e-01
2.201257861635220e-01 9.968457041173684e-01
2.218641081902517e-01 9.972300300289036e-01
2.246767723128930e-01 9.978063162043312e-01
2.264150943396226e-01 9.981211551745353e-01
2.264150943396226e-01 9.981201943998373e-01
2.281534163663523e-01 9.983955016264003e-01
2.309660804889936e-01 9.987414520383604e-01
2.327044025157233e-01 9.988971114758333e-01
2.327044025157233e-01 9.988967478779043e-01
2.344427245424530e-01 9.990162501955939e-01
2.372553886650942e-01 9.991671200025285e-01
2.389937106918239e-01 9.992640872391142e-01
2.389937106918239e-01 9.992652413059553e-01
2.407320327185536e-01 9.993885068098431e-01
2.435446968411948e-01 9.996986132635869e-01
2.452830188679245e-01 9.999781463016413e-01
2.452830188679245e-01 9.999791560551508e-01
2.470213408946542e-01 1.000333432411502e+00
2.498340050172955e-01 1.001064578907709e+00
2.515723270440252e-01 1.001597144108731e+00
2.515723270440252e-01 1.001597113034182e+00
2.533106490707548e-01 1.002173305180683e+00
2.561233131933961e-01 1.003147311481033e+00
2.578616352201258e-01 1.003741639127069e+00
2.578616352201258e-01 1.003740784628412e+00
2.595999572468555e-01 1.004304887649403e+00
2.624126213694967e-01 1.005101377339969e+00
2.641509433962264e-01 1.005500521836657e+00
2.641509433962264e-01 1.005499707215652e+00
2.658892654229561e-01 1.005816907630726e+00
2.687019295455974e-01 1.006145679761481e+00
2.704402515723270e-01 1.006241566641132e+00
2.704402515723270e-01 1.006241798581631e+00
2.721785735990567e-01 1.006264717343114e+00
2.749912377216980e-01 1.006177190187514e+00
2.767295597484277e-01 1.006063322618384e+00
2.767295597484277e-01 1.006063684218175e+00
2.784678817751574e-01 1.005915429595772e+00
2.812805458977986e-01 1.005620320162441e+00
2.830188679245283e-01 1.005408187019484e+00
2.830188679245283e-01 1.005407881578221e+00
2.847571899512580e-01 1.005174903240887e+00
2.875698540738992e-01 1.004753182138266e+00
2.893081761006289e-01 1.004467837706935e+00
2.893081761006289e-01 1.004467495456446e+00
2.910464981273586e-01 1.004167602164447e+00
2.938591622499999e-01 1.003665670278436e+00
2.955974842767295e-01 1.003359576760192e+00
2.955974842767295e-01 1.003359743718959e+00
2.973358063034592e-01 1.003069518607236e+00
3.001484704261005e-01 1.002666288871292e+00
3.018867924528302e-01 1.002477639587143e+00
3.018867924528302e-01 1.002478392186259e+00
3.036251144795599e-01 1.002349313442780e+00
3.064377786022012e-01 1.002293862572111e+00
3.081761006289309e-01 1.002361268908386e+00
3.081761006289309e-01 1.002362004280277e+00
3.099144226556605e-01 1.002507634923771e+00
3.127270867783018e-01 1.002900962328009e+00
3.144654088050315e-01 1.003225240476946e+00
3.144654088050315e-01 1.003225556229569e+00
3.162037308317612e-01 1.003595320014049e+00
3.190163949544024e-01 1.004246244671620e+00
3.207547169811321e-01 1.004648124184466e+00
3.207547169811321e-01 1.004647723066277e+00
3.224930390078618e-01 1.005022751645899e+00
3.253057031305031e-01 1.005509846860268e+00
3.270440251572327e-01 1.005701142440915e+00
3.270440251572327e-01 1.005699571324254e+00
3.287823471839624e-01 1.005783339255850e+00
3.315950113066037e-01 1.005642045231366e+00
3.333333333333334e-01 1.005374033733024e+00
3.333333333333334e-01 1.005373005068469e+00
3.350716553600631e-01 1.004969258508381e+00
3.378843194827043e-01 1.004058804470071e+00
3.396226415094340e-01 1.003375718262295e+00
3.396226415094340e-01 1.003376953831603e+00
3.413609635361637e-01 1.002635152088797e+00
3.441736276588049e-01 1.001393892999317e+00
3.459119496855346e-01 1.000638192100812e+00
3.459119496855346e-01 1.000638935511643e+00
3.476502717122643e-01 9.999125120876068e-01
3.504629358349056e-01 9.988216626489755e-01
3.522012578616353e-01 9.981993960543329e-01
3.522012578616353e-01 9.981989124961814e-01
3.539395798883649e-01 9.976130480087968e-01
3.567522440110062e-01 9.967282258449758e-01
3.584905660377359e-01 9.962173374263658e-01
3.584905660377359e-01 9.962170186089823e-01
3.602288880644656e-01 9.957343087132964e-01
3.630415521871068e-01 9.950230025345685e-01
3.647798742138365e-01 9.946389829865069e-01
3.647798742138365e-01 9.946394551146974e-01
3.665181962405662e-01 9.943086055661540e-01
3.693308603632074e-01 9.939134920916194e-01
3.710691823899371e-01 9.937677676080318e-01
3.710691823899371e-01 9.937684232222497e-01
3.728075044166668e-01 9.937037048509858e-01
3.756201685393081e-01 9.937761978367365e-01
3.773584905660378e-01 9.939240092092618e-01
3.773584905660378e-01 9.939242466720263e-01
3.790968125927675e-01 9.941421453543918e-01
3.819094767154087e-01 9.946169459999030e-01
3.836477987421384e-01 9.949651174113892e-01
3.836477987421384e-01 9.949649382795543e-01
3.853861207688681e-01 9.953380021413367e-01
3.881987848915093e-01 9.959554249711895e-01
3.899371069182390e-01 9.963231176014280e-01
3.899371069182390e-01 9.963226538711158e-01
3.916754289449687e-01 9.966640180881017e-01
3.944880930676100e-01 9.971288309850487e-01
3.962264150943396e-01 9.973486518629114e-01
3.962264150943396e-01 9.973482293106346e-01
3.979647371210693e-01 9.975091758067047e-01
4.007774012437106e-01 9.976350318940891e-01
4.025157232704403e-01 9.976302209265969e-01
4.025157232704403e-01 9.976301458969644e-01
4.042540452971700e-01 9.975648973361531e-01
4.070667094198112e-01 9.973421905338767e-01
4.088050314465409e-01 9.971408330821104e-01
4.088050314465409e-01 9.971409818035144e-01
